agency,requests,year
Administrative Tribunals Support Service of Canada,0,2015-2016
Agriculture and Agri-Food Canada,0,2015-2016
Asia Pacific Foundation of Canada,0,2015-2016
Atlantic Canada Opportunities Agency,0,2015-2016
Atlantic Pilotage Authority Canada,0,2015-2016
Atomic Energy of Canada Limited,0,2015-2016
Bank of Canada,0,2015-2016
Belledune Port Authority,0,2015-2016
British Columbia Treaty Commission,0,2015-2016
Business Development Bank of Canada,1,2015-2016
Canada Border Services Agency,6,2015-2016
Canada Council for the Arts,0,2015-2016
Canada Deposit Insurance Corporation,0,2015-2016
Canada Development Investment Corporation,0,2015-2016
Canada Economic Development for Québec Regions,0,2015-2016
Canada Eldor Inc.,0,2015-2016
Canada Foundation for Innovation,0,2015-2016
Canada GEN Investment Corporation,0,2015-2016
Canada Hibernia Holding Corporation,0,2015-2016
Canada Lands Company CLC Limited (Canada Lands Company Limited),0,2015-2016
Canada Lands Company Limited,0,2015-2016
Canada Mortgage and Housing Corporation,0,2015-2016
Canada Post Corporation,0,2015-2016
Canada Revenue Agency,1,2015-2016
Canada School of Public Service,0,2015-2016
Canada Science and Technology Museum Corporation,0,2015-2016
Canada-Newfoundland and Labrador Offshore Petroleum Board,0,2015-2016
Canada-Nova-Scotia Offshore Petroleum Board,0,2015-2016
Canadian Air Transport Security Authority,0,2015-2016
Canadian Broadcasting Corporation,0,2015-2016
Canadian Centre for Occupational Health and Safety,0,2015-2016
Canadian Commercial Corporation,0,2015-2016
Canadian Dairy Commission,0,2015-2016
Canadian Environmental Assessment Agency,0,2015-2016
Canadian Food Inspection Agency,0,2015-2016
Canadian Grain Commission,0,2015-2016
Canadian Heritage,0,2015-2016
Canadian Human Rights Commission,1,2015-2016
Canadian Institutes of Health Research,0,2015-2016
Canadian Museum for Human Rights,0,2015-2016
Canadian Museum of History and Canadian War Museum,0,2015-2016
Canadian Museum of Immigration at Pier 21,0,2015-2016
Canadian Museum of Nature,0,2015-2016
Canadian Northern Economic Development Agency,0,2015-2016
Canadian Nuclear Safety Commission,0,2015-2016
Canadian Race Relations Foundation,0,2015-2016
Canadian Radio-television and Telecommunications Commission,0,2015-2016
Canadian Security Intelligence Service,386,2015-2016
Canadian Space Agency,0,2015-2016
Canadian Transportation Agency,0,2015-2016
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police ,0,2015-2016
Communication Security Establishment Canada,5,2015-2016
Copyright Board Canada,0,2015-2016
Correctional Service of Canada,1,2015-2016
Defence Construction Canada,0,2015-2016
Department of Finance Canada,0,2015-2016
Department of Justice Canada,1,2015-2016
Destination Canada,0,2015-2016
Elections Canada,0,2015-2016
"Employment and Social Development Canada						",0,2015-2016
Environment and Climate Change Canada,1,2015-2016
Exinvest Inc,0,2015-2016
Export Development Canada,0,2015-2016
Farm Credit Canada,0,2015-2016
Farm Products Council of Canada,0,2015-2016
Federal Bridge Corporation Limited,0,2015-2016
Federal Economic Development Agency for Southern Ontario,0,2015-2016
Federal Public Service Health Care Plan Administration Authority,0,2015-2016
Financial Consumer Agency of Canada,0,2015-2016
Financial Transactions and Reports Analysis Centre of Canada,27,2015-2016
First Nations Financial Management Board,0,2015-2016
First Nations Tax Commission,0,2015-2016
Fisheries and Oceans Canada,0,2015-2016
Freshwater Fish Marketing Corporation,0,2015-2016
Global Affairs Canada,5,2015-2016
Great Lakes Pilotage Authority,0,2015-2016
Gwich'in Land and Water Board,0,2015-2016
Gwich'in Land Use Planning Board,0,2015-2016
Halifax Port Authority,0,2015-2016
Hamilton Port Authority,0,2015-2016
Health Canada,14,2015-2016
Historic Sites and Monuments Board of Canada,0,2015-2016
Immigration and Refugee Board,0,2015-2016
Immigration Refugees and Citizenship Canada,2,2015-2016
Indigenous and Northern Affairs Canada,0,2015-2016
Innovation Science and Economic Development Canada,0,2015-2016
International Development Research Centre,0,2015-2016
Jacques Cartier and Champlain Bridges Incorporated,0,2015-2016
Laurentian Pilotage Authority Canada,0,2015-2016
Library and Archives of Canada,1,2015-2016
Mackenzie Valley Environmental Impact Review Board,0,2015-2016
Mackenzie Valley Land and Water Board,0,2015-2016
Marine Atlantic Inc,0,2015-2016
Military Grievances External Review Committee,0,2015-2016
Military Police Complaints Commission,0,2015-2016
Montreal Port Authority,0,2015-2016
Nanaimo Port Authority,0,2015-2016
National Arts Centre,0,2015-2016
National Capital Commission,0,2015-2016
National Defence,2,2015-2016
National Energy Board,0,2015-2016
National Film Board of Canada,0,2015-2016
National Gallery of Canada,0,2015-2016
National Research Council of Canada,0,2015-2016
Natural Resources Canada,0,2015-2016
Natural Sciences and Engineering Research Council of Canada,0,2015-2016
Northern Pipeline Agency Canada,0,2015-2016
Nunavut Water Board,0,2015-2016
Office of Infrastructure of Canada,0,2015-2016
Office of the Administrator of the Ship-source Oil Pollution Fund,0,2015-2016
